ID,DX,DY,RZ
A0,0.0,0.0,0.0
B0,0.0,0.0,0.0
C0,0.0,0.0,0.0
D0,0.0,0.0,-0.03487946705293216
E0,0.0,0.0,-0.03589372591025757
F0,0.0,0.0,0.0
G0,0.0,0.0,0.0
A1,171.76366468646864,1.8281057369031852,-0.012567824600748857
B1,171.6686811983859,-14.326946316613338,-0.010224295880401829
C1,171.52967792809213,-8.063768115942057,-0.03257340904507092
D1,172.28654682684413,-1.3518296436554855,-0.009757933660371424
E1,171.93324029975363,-14.775706588228378,-0.007566351394755777
F1,170.21223425824098,-8.265362318840607,-0.03266332059737821
G1,169.31132075731506,-4.23347826086958,-0.032700002510132664
A2,308.75200813148683,2.7620875756990997,-0.01191432996277616
B2,308.74615439375054,-25.070855691641253,-0.01001245654071446
C2,308.9025489188177,-14.392753623188456,-0.021647529679948263
D2,308.76188458370746,-2.715636068971766,-0.01150183576387354
E2,308.9777301303264,-26.06987117740479,-0.009850840016108904
F2,309.4689588336122,-14.752572463768166,-0.021828600435989953
G2,309.7021044543559,-7.5561956521739395,-0.02195990118830529
A3,429.9635825583726,3.2199030685536085,-0.011703464607825596
B3,429.8068138819485,-34.57258422797407,-0.009728686565199386
C3,429.6989777050051,-20.22753623188413,-0.021656090295270387
D3,429.59978709069134,-4.399022720381147,-0.011104085892695303
E3,429.595206509717,-36.056049743386616,-0.009328865008702678
F3,429.61039907050014,-20.733224637681232,-0.021512185738076055
G3,429.61599864443116,-10.619456521739169,-0.021444762493254974
A4,544.7252000614576,3.307378013712548,-0.011735706026698314
B4,544.5718814553725,-42.93795772385771,-0.009782987680688034
C4,544.48748096052,-25.568115942029078,-0.020228981161716907
D4,544.3651121515411,-6.276116649213989,-0.011111960491930218
E4,544.3554327792899,-44.86011523484354,-0.00937134443778581
F4,544.401919872365,-26.207318840579806,-0.02026790808738916
G4,544.4171354662597,-13.423260869565269,-0.02028742939062232
A5,653.008386014653,3.0919241727168902,-0.011658390151671636
B5,652.8463541124335,-50.23438794083312,-0.009701687673393399
C5,652.7536029869522,-30.414492753623303,-0.019094144302560314
D5,652.6362663655854,-8.281791107692893,-0.010989594201305295
E5,652.6228173469975,-52.54719439955295,-0.009243896689730748
F5,652.6643449693294,-31.17485507246389,-0.01908197058445602
G5,652.6795880422166,-15.967608695652238,-0.01907656870668421
A6,754.5137680961606,2.640238689540479,-0.011485568073045476
B6,754.3459156055911,-56.528572022874165,-0.009529644496181605
C6,754.2511211803445,-34.766666666666815,-0.017810972657037027
D6,754.1309650197563,-10.34842876679712,-0.01077745664529126
E6,754.1102326200086,-59.18490456653561,-0.009032303694266467
F6,754.1486053768512,-35.63583333333349,-0.017811492577233707
G6,754.1620570310006,-18.25250000000008,-0.017812616636135925
A7,848.8791781711835,2.016821780367599,-0.011227086481970164
B7,848.7050645238118,-61.88501018616514,-0.009271031007775635
C7,848.606637063682,-38.624637681159605,-0.016490892747507827
D7,848.4854158198694,-12.410761176547256,-0.01048347498790497
E7,848.4587603273144,-64.83851418577092,-0.008738334361415183
F7,848.49422684148,-39.590253623188595,-0.01648835830960042
G7,848.5068272407063,-20.277934782608796,-0.01648782249340283
A8,935.8590477069209,1.2844436290007593,-0.010897848973286033
B8,935.6789608364605,-66.36647261450851,-0.008941854835392806
C8,935.5768199167511,-41.98840579710166,-0.015130382936426132
D8,935.45395046678,-14.405068179688742,-0.01012332400832257
E8,935.4211882212322,-69.57174341451339,-0.008378192477267942
F8,935.453212825585,-43.03811594202921,-0.015128496429128497
G8,935.464551402898,-22.04391304347838,-0.01512836304765137
A9,1015.2976921073317,0.5038347103879663,-0.010511167475026437
B9,1015.1118888488182,-70.03368978285229,-0.008555172928492137
C9,1015.0057278106304,-44.857971014492996,-0.013750715914214133
D9,1014.8811904932609,-16.269489657068124,-0.009710680047314414
E9,1014.8426488570926,-73.44645237191658,-0.007965549527045139
F9,1014.8710850160977,-45.97942028985531,-0.013748669523677069
G9,1014.8811596179577,-23.55043478260883,-0.013748361158128802
A10,1087.1246123513706,-0.2664572810680005,-0.010079442120372682
B10,1086.933475646473,-72.94520938559927,-0.00812373806779208
C10,1086.823063948733,-47.2333333333336,-0.012364704696889302
D10,1086.6967475376468,-17.944152546732404,-0.009258453114473564
E10,1086.652742582003,-76.5225141199334,-0.007513657233686873
F10,1086.6773141811407,-48.41416666666692,-0.012362698942830059
G10,1086.6860137031372,-24.79750000000014,-0.012362626301782136
A11,1151.3446776113567,-0.9701934933065942,-0.00961503698958406
B11,1151.1485867458257,-75.15727027481005,-0.007657715182096927
C11,1151.03438386258,-49.114492753623466,-0.010987914053837488
D11,1150.906512022615,-19.371278775828987,-0.008779370473631774
E11,1150.8577265210333,-78.85770673141649,-0.007032725170132375
F11,1150.8793830524364,-50.34235507246404,-0.010986879088460135
G11,1150.8871579808952,-25.785108695652323,-0.010986223650890338
A12,1208.042222750589,-1.5534927958749185,-0.009132276242431804
B12,1207.8405985185552,-76.72375358093745,-0.00718588177471658
C12,1207.7157999067008,-50.50144927536261,-0.009625131428470345
D12,1207.582887644559,-20.495176753290913,-0.008284356597014583
E12,1207.5261466100678,-80.50772179743282,-0.006549243754287351
F12,1207.5360621517814,-51.76398550724666,-0.009612738141860637
